key;brand;model;4G_bands;EDGE;announced;dimentions;weight_g;SIM;display_resolution;display_size;OS;CPU;GPU;memory_card;internal_memory;RAM;primary_camera;secondary_camera;loud_speaker;audio_jack;bluetooth;GPS;NFC;radio;USB;sensors;battery;colors;approx_price_EUR;img_url
Samsung Galaxy Mega 5.8 I9150;Samsung;Galaxy Mega 5.8 I9150;;Yes;2013  April;162.6 x 82.4 x 9 mm (6.40 x 3.24 x 0.35 in);182;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);5.8 inches (~69.2% screen-to-body ratio);540 x 960 pixels (~190 ppi pixel density);Android 4.2.2 (Jelly Bean);Dual-core 1.4 GHz;;microSD  up to 64 GB (dedicated slot);8 GB;1.5 GB RAM;8 MP| f/2.7| autofocus| LED flash| ;1.9 MP;Yes;Yes;4.0| A2DP| LE;Yes with A-GPS GLONASS;No;No;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2600 mAh battery;White| Black| Plum Purple;280;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-mega-5-8.jpg
Samsung Galaxy Trend II Duos S7572;Samsung;Galaxy Trend II Duos S7572;;Yes;2013  April;121.5 x 63.1 x 11.1 mm (4.78 x 2.48 x 0.44 in);1285;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM| dual stand-by);4.0 inches (~59.4% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.1 (Jelly Bean);Dual-core 1.2 GHz;;microSD  up to 32 GB (dedicated slot);;;3.15 MP;No;Yes;Yes;3.0;Yes;;No;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 1500 mAh battery;White| Gray;170;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-trend-duos-ii-s7572.jpg
Samsung Galaxy Win I8550;Samsung;Galaxy Win I8550;;Yes;2013  April;133.3 x 70.7 x 9.7 mm (5.25 x 2.78 x 0.38 in);1439;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);4.7 inches (~66.7% screen-to-body ratio);480 x 800 pixels (~199 ppi pixel density);Android 4.1.2 (Jelly Bean);Quad-core 1.2 GHz Cortex-A5;Adreno 203;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;VGA;Yes;Yes;3.0;Yes with A-GPS;;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 2000 mAh battery;Ceramic White| Titan Gray;170;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-win-i8552.jpg
Samsung Galaxy Pocket Neo S5310;Samsung;Galaxy Pocket Neo S5310;;Yes;2013  April;105 x 57.8 x 11.8 mm (4.13 x 2.28 x 0.46 in);1005;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);3.0 inches (~45.9% screen-to-body ratio);240 x 320 pixels (~133 ppi pixel density);Android 4.1.2 (Jelly Bean);850 MHz;;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;2 MP;No;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;Stereo FM radio| RDS| recording;microUSB 2.0;Accelerometer| compass;Removable Li-Ion 1200 mAh battery;Gray| White| Gray;90;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-pocket-neo.jpg
Samsung Galaxy Star S5280;Samsung;Galaxy Star S5280;;Yes;2013  April;105 x 58 x 11.9 mm (4.13 x 2.28 x 0.47 in);1005;Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by);3.0 inches (~45.8% screen-to-body ratio);240 x 320 pixels (~133 ppi pixel density);Android 4.1.2 (Jelly Bean);1.0 GHz Cortex-A5;Mali-300;microSD  up to 32 GB (dedicated slot);4 GB;512 MB RAM;2 MP;No;Yes;Yes;4.0| A2DP;No;;Stereo FM radio| RDS| recording;microUSB 2.0;Accelerometer;Removable Li-Ion 1200 mAh battery;Black| White| Blue;70;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-star-s5280.jpg
Samsung I9505 Galaxy S4;Samsung;I9505 Galaxy S4;LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800);Yes;2013  March;136.6 x 69.8 x 7.9 mm (5.38 x 2.75 x 0.31 in);130;Micro-SIM;5.0 inches (~72.3% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.2.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat)| planned upgrade to 5.0 (Lollipop);Quad-core 1.9 GHz Krait 300;Adreno 320;microSD  up to 64 GB (dedicated slot);16/32/64 GB;2 GB RAM;13 MP| f/2.2| 31mm| autofocus| LED flash| ;2 MP| f/2.4| 31mm| 1080p@30fps| dual video call;Yes;Yes;4.0| A2DP| EDR| LE| aptX;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0 (MHL 2 TV-out)| USB Host;Accelerometer| gyro| proximity| compass| barometer| temperature| humidity| gesture;Removable Li-Ion 2600 mAh battery;White Frost| Black Mist| Aurora Red (AT&T only)| Arctic Blue| Purple Mirage| Brown Autumn| Pink Twilight| Black Edition;330;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-4-i9500-black-mist.jpg
Samsung I9500 Galaxy S4;Samsung;I9500 Galaxy S4;;Yes;2013  March;136.6 x 69.8 x 7.9 mm (5.38 x 2.75 x 0.31 in);130;Micro-SIM;5.0 inches (~72.3% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.2.2 (Jelly Bean)| upgradable to 5.0.1 (Lollipop);Octa-core (4x1.6 GHz Cortex-A15 & 4x1.2 GHz Cortex-A7);PowerVR SGX544MP3;microSD  up to 64 GB (dedicated slot);16/32/64 GB;2 GB RAM;13 MP| f/2.2| 31mm| autofocus| LED flash| ;2 MP| f/2.4| 31mm| 1080p@30fps| dual video call;Yes;Yes;4.0| A2DP| EDR| LE| aptX;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0 (MHL 2 TV-out)| USB Host;Accelerometer| gyro| proximity| compass| barometer| temperature| humidity| gesture;Removable Li-Ion 2600 mAh battery;White Frost| Black Mist| Arctic Blue| Black Edition;320;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-4-i9500-black-mist.jpg
Samsung I9502 Galaxy S4;Samsung;I9502 Galaxy S4;;Yes;2013  March;136.6 x 69.8 x 7.9 mm (5.38 x 2.75 x 0.31 in);132;Dual SIM (Micro-SIM| dual stand-by| dual active);5.0 inches (~72.3% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.2.2 (Jelly Bean);Octa-core (4x1.6 GHz Cortex-A15 & 4x1.2 GHz Cortex-A7);PowerVR SGX544MP3;microSD  up to 64 GB (dedicated slot);16/32/64 GB;2 GB RAM;13 MP| f/2.2| 31mm| autofocus| LED flash;2 MP| f/2.4| 31mm| 1080p@30fps| dual video call;Yes;Yes;4.0| A2DP| EDR| LE| aptX;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0 (MHL 2 TV-out)| USB Host;Accelerometer| gyro| proximity| compass| barometer| temperature| humidity| gesture;Removable Li-Ion 2600 mAh battery;White Frost| Black Mist;460;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-4-i9500-black-mist.jpg
Samsung Galaxy S4 CDMA;Samsung;Galaxy S4 CDMA;LTE band 4(1700/2100)| 13(700);Yes;2013  May;136.7 x 69.6 x 7.9 mm (5.38 x 2.74 x 0.31 in);1301;Micro-SIM;5.0 inches (~72.4% screen-to-body ratio);1080 x 1920 pixels (~441 ppi pixel density);Android 4.2.2 (Jelly Bean)| upgradable to 5.0.1 (Lollipop);Quad-core 1.9 GHz Krait 300;Adreno 320;microSD  up to 64 GB (dedicated slot);16 GB;2 GB RAM;13 MP| f/2.2| 31mm| autofocus| LED flash;2 MP| f/2.4| 31mm| 1080p@30fps| dual video call;Yes;Yes;4.0| A2DP| EDR| LE| aptX;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0 (MHL 2 TV-out)| USB Host;Accelerometer| gyro| proximity| compass| barometer| temperature| humidity| gesture;Removable Li-Ion 2600 mAh battery;White Frost| Black Mist;440;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s4-verizon.jpg
Samsung Galaxy Note 8.0;Samsung;Galaxy Note 8.0;LTE band 3(1800)| 7(2600)| 8(900)| 20(800) - N5120;Class 12;2013  February;210.8 x 135.9 x 8 mm (8.30 x 5.35 x 0.31 in);338;Micro-SIM;8.0 inches (~64.8% screen-to-body ratio);800 x 1280 pixels (~189 ppi pixel density);Android 4.1.2 (Jelly Bean)| upgradable to 4.4 (KitKat);Quad-core 1.6 GHz Cortex-A9;Mali-400MP4;microSD  up to 64 GB (dedicated slot);16/32 GB;2 GB RAM;5 MP| autofocus;1.3 MP;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 4600 mAh battery;Black| White/Silver| brown;320;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-80-n5100.jpg
Samsung Galaxy Note 8.0 Wi-Fi;Samsung;Galaxy Note 8.0 Wi-Fi;;No;2013  February;210.8 x 135.9 x 8 mm (8.30 x 5.35 x 0.31 in);338;No;8.0 inches (~64.8% screen-to-body ratio);800 x 1280 pixels (~189 ppi pixel density);Android 4.1.2 (Jelly Bean)| upgradable to 4.4 (KitKat);Quad-core 1.6 GHz Cortex-A9;Mali-400MP4;microSD  up to 64 GB (dedicated slot);16/32 GB;2 GB RAM;5 MP| autofocus| ;1.3 MP;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| proximity| compass;Non-removable Li-Ion 4600 mAh battery;Black| White/Silver| brown;280;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-80-n5110.jpg
Samsung Galaxy Y Plus S5303;Samsung;Galaxy Y Plus S5303;;Yes;2013  March;104.9 x 57.9 x 13 mm (4.13 x 2.28 x 0.51 in);96;Dual SIM (Mini-SIM| dual stand-by);2.8 inches (~40.0% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);Android 4.0 (Ice Cream Sandwich);850 MHz Cortex-A9;;microSD  up to 32 GB (dedicated slot);4 GB;;2 MP;No;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| compass;Removable Li-Ion 1200 mAh battery;White| Black;120;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-y-plus-gt-s5303.jpg
Samsung Rex 90 S5292;Samsung;Rex 90 S5292;;Yes;2013  February;113 x 61.9 x 11.9 mm (4.45 x 2.44 x 0.47 in);;Dual SIM (Mini-SIM);3.5 inches (~52.1% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);;;;microSD  up to 32 GB (dedicated slot);10 MB;;3.15 MP;No;Yes;Yes;3.0;No;;FM radio| recording;microUSB 2.0| USB Host;Proximity;Removable Li-Ion 1000 mAh battery;White| Brown;80;http://cdn2.gsmarena.com/vv/bigpic/samsung-rex-90-s5292.jpg
Samsung Rex 80 S5222R;Samsung;Rex 80 S5222R;;Yes;2013  February;102 x 58 x 11.5 mm (4.02 x 2.28 x 0.45 in);;Dual SIM (Mini-SIM);3.0 inches (~47.1% screen-to-body ratio);240 x 320 pixels (~133 ppi pixel density);;;;microSD  up to 16 GB (dedicated slot);20 MB;;3.15 MP;No;Yes;Yes;3.0;No;;FM radio| recording;microUSB 2.0| USB Host;Proximity;Removable Li-Ion 1000 mAh battery;White| Gray| Blue| Red;70;http://cdn2.gsmarena.com/vv/bigpic/samsung-rex-80-s5222.jpg
Samsung Rex 70 S3802;Samsung;Rex 70 S3802;;Yes;2013  February;104.9 x 57.2 x 12 mm (4.13 x 2.25 x 0.47 in);892;Dual SIM (Mini-SIM);3.0 inches (~46.4% screen-to-body ratio);240 x 320 pixels (~133 ppi pixel density);;;;microSD  up to 32 GB (dedicated slot);10 MB;;2 MP;No;Yes;Yes;3.0;No;;FM radio;microUSB 2.0| USB Host;Proximity;Removable Li-Ion 1000 mAh battery;White| Gray| Blue;60;http://cdn2.gsmarena.com/vv/bigpic/samsung-rex-70-s3802.jpg
Samsung Rex 60 C3312R;Samsung;Rex 60 C3312R;;Yes;2013  February;101.8 x 55 x 12.2 mm (4.01 x 2.17 x 0.48 in);;Dual SIM (Mini-SIM);2.8 inches (~43.4% screen-to-body ratio);240 x 320 pixels (~143 ppi pixel density);;;;microSD  up to 16 GB (dedicated slot);30 MB;;1.3 MP;No;Yes;Yes;3.0;No;;FM radio| recording;microUSB 2.0| USB Host;Proximity;Removable Li-Ion 1000 mAh battery;White| Gray| Blue;50;http://cdn2.gsmarena.com/vv/bigpic/samsung-rex-60-c3312.jpg
Samsung Metro E2202;Samsung;Metro E2202;;No;2013  February;110.7 x 46 x 14.3 mm (4.36 x 1.81 x 0.56 in);782;Dual SIM (Mini-SIM| dual stand-by);1.8 inches (~20.0% screen-to-body ratio);128 x 160 pixels (~114 ppi pixel density);;;;microSD  up to 16 GB (dedicated slot);;;VGA;No;Yes;Yes;2.1| EDR;No;;FM radio;microUSB 2.0;;Removable Li-Ion 1000 mAh battery;Black| White;30;http://cdn2.gsmarena.com/vv/bigpic/samsung-metro-e2202.jpg
Samsung E1282T;Samsung;E1282T;;No;2013  February;109.2 x 45.5 x 14.5 mm (4.30 x 1.79 x 0.57 in);745;Dual SIM (Mini-SIM| dual stand-by);1.8 inches (~20.5% screen-to-body ratio);128 x 160 pixels (~114 ppi pixel density);;;;microSD  up to 4 GB (dedicated slot);;;;;Yes;Yes;2.0;No;;FM radio;Yes;;Removable Li-Ion 1000 mAh battery;Black| White| Blue;30;http://cdn2.gsmarena.com/vv/bigpic/samsung-gt-e1282t.jpg
Samsung E1207T;Samsung;E1207T;;No;2013  February;108 x 45.5 x 13.5 mm (4.25 x 1.79 x 0.53 in);;Dual SIM (Mini-SIM);1.52 inches (~15.2% screen-to-body ratio);128 x 128 pixels (~119 ppi pixel density);;;;No;;;;;Yes;No;No;No;;FM radio;Yes;;Removable Li-Ion 800 mAh battery;Black;20;http://cdn2.gsmarena.com/vv/bigpic/samsung-e1207t.jpg
Samsung Galaxy Young S6310;Samsung;Galaxy Young S6310;;Yes;2013  February;109.4 x 58.6 x 12.5 mm (4.31 x 2.31 x 0.49 in);112;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM| dual stand-by);3.27 inches (~49.7% screen-to-body ratio);320 x 480 pixels (~176 ppi pixel density);Android 4.1.2 (Jelly Bean);1.0 GHz Cortex-A5;Adreno 200;microSD  up to 64 GB (dedicated slot);4 GB (2 GB user available);768 MB RAM;3.15 MP| f/2.6| ;No;Yes;Yes;3.0| A2DP;Yes with A-GPS;;Stereo FM radio| RDS| recording;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 1300 mAh battery;White;90;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-young-ss.jpg
Samsung Galaxy Fame S6810;Samsung;Galaxy Fame S6810;;Yes;2013  February;113.2 x 61.6 x 11.6 mm (4.46 x 2.43 x 0.46 in);1206;Single SIM (Mini-SIM) or Dual SIM (Mini-SIM| dual stand-by);3.5 inches (~52.3% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.1.2 (Jelly Bean);1.0 GHz Cortex-A9;Broadcom VideoCore IV;microSD  up to 64 GB (dedicated slot);4 GB;512 MB RAM;5 MP| f/2.7| autofocus| LED flash| ;VGA;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;Yes (S6810P model only);Stereo FM radio| RDS| recording;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 1300 mAh battery;White| Blue;120;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-frame.jpg
Samsung Galaxy Express I8730;Samsung;Galaxy Express I8730;LTE band 3(1800)| 7(2600)| 8(900)| 20(800);Yes;2013  January;132.2 x 69.1 x 9.3 mm (5.20 x 2.72 x 0.37 in);1391;Micro-SIM;4.5 inches (~63.1% screen-to-body ratio);480 x 800 pixels (~207 ppi pixel density);Android 4.1.2 (Jelly Bean);Dual-core 1.2 GHz Krait;Adreno 305;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash| ;1.3 MP| 720p@30fps;Yes;Yes;4.0| A2DP| EDR;Yes with A-GPS GLONASS;Yes;Stereo FM radio| RDS| recording;microUSB 2.0 (MHL TV-out);Accelerometer| gyro| proximity| compass;Removable Li-Ion 2000 mAh battery;White| Gray;180;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-express.jpg
Samsung S7710 Galaxy Xcover 2;Samsung;S7710 Galaxy Xcover 2;;Yes;2013  January;130.5 x 67.7 x 12 mm (5.14 x 2.67 x 0.47 in);1485;Mini-SIM;4.0 inches (~51.5% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.1.2 (Jelly Bean);Dual-core 1.0 GHz Cortex-A9;Mali-400;microSD  up to 32 GB (dedicated slot);4 GB;1 GB RAM;5 MP| autofocus| LED flash| ;VGA;Yes;Yes;4.0| A2DP;Yes with A-GPS GLONASS;;Stereo FM radio| RDS| recording;microUSB 2.0 (MHL TV-out);Accelerometer| gyro| proximity| compass;Removable Li-Ion 1700 mAh battery;Gray;190;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover-2.jpg
Samsung I9105 Galaxy S II Plus;Samsung;I9105 Galaxy S II Plus;;Yes;2013  January;125.3 x 66.1 x 8.5 mm (4.93 x 2.60 x 0.33 in);121;Mini-SIM;4.3 inches (~63.5% screen-to-body ratio);480 x 800 pixels (~217 ppi pixel density);Android 4.1.2 (Jelly Bean)| upgradable to 4.2.2 (Jelly Bean);Dual-core 1.2 GHz;Broadcom VideoCore IV;microSD  up to 64 GB (dedicated slot);8 GB;1 GB RAM;8 MP| f/2.6| autofocus| LED flash| ;2 MP;Yes;Yes;3.0| A2DPR| aptX;Yes with A-GPS GLONASS;Yes (I9105P model only);Stereo FM radio| RDS;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 1650 mAh battery;Chic White| Dark Blue;210;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-ii-plus-i9105p-ofic.jpg
Samsung Ativ Odyssey I930;Samsung;Ativ Odyssey I930;LTE band 13(700);Yes;2013  January;122.4 x 63.8 x 10.9 mm (4.82 x 2.51 x 0.43 in);125;Micro-SIM;4.0 inches (~58.3% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Microsoft Windows Phone 8;Dual-core 1.5 GHz Krait;Adreno 225;microSD  up to 64 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;1.2 MP| 720p@30fps;Yes;Yes;3.1| A2DP;Yes with A-GPS GLONASS;Yes;No;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2100 mAh battery;Gray;200;http://cdn2.gsmarena.com/vv/bigpic/samsung-ativ-odyssey-new.jpg
Samsung Galaxy Grand I9082;Samsung;Galaxy Grand I9082;;Yes;2012  December;143.5 x 76.9 x 9.6 mm (5.65 x 3.03 x 0.38 in);162;Dual SIM (Mini-SIM| dual stand-by);5.0 inches (~64.5% screen-to-body ratio);480 x 800 pixels (~187 ppi pixel density);Android 4.1.2 (Jelly Bean)| upgradable to 4.2.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A9;Broadcom VideoCore IV;microSD  up to 64 GB (dedicated slot);8 GB;1 GB RAM;8 MP| f/2.7 autofocus| LED flash| ;2 MP;Yes;Yes;4.0| A2DP| EDR| LE;Yes with A-GPS GLONASS;;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2100 mAh battery;Black| White;180;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-grand-gt-i9080.jpg
Samsung Galaxy Grand I9080;Samsung;Galaxy Grand I9080;;Yes;2012  December;143.5 x 76.9 x 9.6 mm (5.65 x 3.03 x 0.38 in);162;Mini-SIM;5.0 inches (~64.5% screen-to-body ratio);480 x 800 pixels (~187 ppi pixel density);Android 4.1.2 (Jelly Bean)| upgradable to 4.2.2 (Jelly Bean);Dual-core 1.2 GHz Cortex-A9;Broadcom VideoCore IV;microSD  up to 64 GB (dedicated slot);8 GB;1 GB RAM;8 MP| autofocus| LED flash;2 MP;Yes;Yes;4.0| A2DP| EDR| LE;Yes with A-GPS GLONASS;;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2100 mAh battery;Black| White;210;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-grand-gt-i9080.jpg
Samsung Star Deluxe Duos S5292;Samsung;Star Deluxe Duos S5292;;Yes;2012  December;113 x 61.9 x 11.8 mm (4.45 x 2.44 x 0.46 in);109;Dual SIM (Mini-SIM| dual stand-by);3.5 inches (~52.1% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);;312 MHz;;microSD  up to 32 GB (dedicated slot);;;3.15 MP;No;Yes;Yes;3.0| A2DP;No;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1000 mAh battery;Black| White| Brown;110;http://cdn2.gsmarena.com/vv/bigpic/samsung-s5292-star-deluxe-duos-new.jpg
Samsung Galaxy Note LTE 10.1 N8020;Samsung;Galaxy Note LTE 10.1 N8020;LTE band 3(1800)| 7(2600);Yes;2012  December;262 x 180 x 8.9 mm (10.31 x 7.09 x 0.35 in);600;Micro-SIM;10.1 inches (~62.7% screen-to-body ratio);800 x 1280 pixels (~149 ppi pixel density);Android 4.1 (Jelly Bean);Quad-core 1.4 GHz Cortex-A9;Mali-400MP4;microSD  up to 64 GB (dedicated slot);16/32/64 GB;2 GB RAM;5 MP| autofocus| LED flash;1.9 MP;Yes with stereo speakers;Yes;4.0| A2DP;Yes with A-GPS;;No;microUSB 2.0 (MHL TV-out)| USB Host;Accelerometer| gyro| compass;Non-removable Li-Ion 7000 mAh battery;Gray| white;390;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note-101-lte-n8020.jpg
Samsung A997 Rugby III;Samsung;A997 Rugby III;;Yes;2012  November;104.1 x 53.3 x 20.3 mm (4.10 x 2.10 x 0.80 in);133;Mini-SIM;2.4 inches (~32.1% screen-to-body ratio);240 x 320 pixels (~167 ppi pixel density);;468 MHz;;microSD  up to 32 GB (dedicated slot);256 MB;128 MB RAM;3.15 MP;No;Yes;Yes;2.1| A2DP| EDR;Yes with A-GPS;;No;microUSB 2.0;;Removable Li-Ion 1300 mAh battery;Black;90;http://cdn2.gsmarena.com/vv/bigpic/samsung-rugby-iii.jpg
Samsung Galaxy Axiom R830;Samsung;Galaxy Axiom R830;LTE band 2(1900)| 4(1700/2100)| 5(850)| 12(700);No;2012  November;121.7 x 63.8 x 11.9 mm (4.79 x 2.51 x 0.47 in);1361;Mini-SIM;4.0 inches (~58.7% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.0.4 (Ice Cream Sandwich);Dual-core 1.2 GHz Krait;;microSD  up to 32 GB (dedicated slot);4 GB;1 GB RAM;5 MP| autofocus| LED flash;1.3 MP;Yes;Yes;4.0| A2DP;Yes with A-GPS;Yes;No;microUSB 2.0;Accelerometer| proximity;Removable Li-Ion 2100 mAh battery;Blue;150;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-axiom-sch-r830.jpg
Samsung Galaxy Stratosphere II I415;Samsung;Galaxy Stratosphere II I415;LTE band 13(700);Yes;2012  November;126.2 x 65.5 x 13.5 mm (4.97 x 2.58 x 0.53 in);154;Micro-SIM;4.0 inches (~55.1% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.0.4 (Ice Cream Sandwich);Dual-core 1.2 GHz Krait;Adreno 225;microSD  up to 32 GB (dedicated slot);8 GB;1 GB RAM;5 MP| autofocus| LED flash;1.3 MP| VGA@30fps;Yes;Yes;4.0| A2DP| aptX;Yes with A-GPS;Yes;No;microUSB 2.0;Accelerometer| proximity| compass;Removable Li-Ion 1800 mAh battery;Black;170;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-stratosphere-II.jpg
Samsung Galaxy Discover S730M;Samsung;Galaxy Discover S730M;;Yes;2012  November;112.8 x 61.5 x 11.5 mm (4.44 x 2.42 x 0.45 in);122;Mini-SIM;3.5 inches (~52.6% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.0.4 (Ice Cream Sandwich);800 MHz Cortex-A5;Adreno 200;microSD  up to 32 GB (dedicated slot);4 GB (2.7 GB user available);512 MB RAM;3.15 MP| LED flash;No;Yes;Yes;Yes;Yes with A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1300 mAh battery;Black;80;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-discover.jpg
Samsung Galaxy Pop SHV-E220;Samsung;Galaxy Pop SHV-E220;LTE band 5(850)| 9(1800);Yes;2013  January;134.2 x 68.1 x 9.1 mm (5.28 x 2.68 x 0.36 in);134;Mini-SIM;4.65 inches (~65.2% screen-to-body ratio);720 x 1280 pixels (~316 ppi pixel density);Android 4.1.2 (Jelly Bean);Quad-core 1.4 GHz Cortex-A9;Mali-400MP4;microSD  up to 64 GB (dedicated slot);8/16 GB;1 GB RAM;8 MP| autofocus| LED flash;1.9 MP;Yes;Yes;4.0| A2DP| EDR;Yes with A-GPS GLONASS;Yes;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2100 mAh battery;White| Orange| Blue;110;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-pop-shv-e220.jpg
Samsung Galaxy Premier I9260;Samsung;Galaxy Premier I9260; LTE (market dependent);Yes;2012  November;134.2 x 68 x 9 mm (5.28 x 2.68 x 0.35 in);130;Mini-SIM;4.65 inches (~65.3% screen-to-body ratio);720 x 1280 pixels (~316 ppi pixel density);Android 4.1 (Jelly Bean);Dual-core 1.5 GHz;PowerVR SGX544;microSD  up to 32 GB (dedicated slot);8/16 GB;1 GB RAM;8 MP| autofocus| LED flash| ;1.9 MP;Yes;Yes;4.0| A2DP| EDR;Yes with A-GPS GLONASS;Yes;Stereo FM radio| RDS;microUSB 2.0;Accelerometer| gyro| proximity| compass;Removable Li-Ion 2100 mAh battery;White| Titanium Gray;260;http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-premier-i9260-new.jpg
Samsung Google Nexus 10 P8110;Samsung;Google Nexus 10 P8110;;No;2012  October;263.9 x 177.6 x 8.9 mm (10.39 x 6.99 x 0.35 in);603;No;10.1 inches (~63.1% screen-to-body ratio);2560 x 1600 pixels (~299 ppi pixel density);Android 4.2 (Jelly Bean)| upgradable to 5.1 (Lollipop);Dual-core 1.7 GHz Cortex-A15;Mali-T604 MP4;No;16/32 GB;2 GB RAM;5 MP| autofocus| LED flash| ;1.9 MP;Yes with stereo speakers;Yes;3.0| A2DP;Yes with GLONASS;Yes| dual side;No;microUSB 2.0;Accelerometer| gyro| proximity| compass| barometer;Non-removable Li-Po 9000 mAh battery;Black;260;http://cdn2.gsmarena.com/vv/bigpic/samsung-google-nexus-10-new.jpg
